Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,G_by_Sh,G_by_SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,xA,A-xAG,KP,LastThird,PPA,CrsPA,Prog,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl_plus_Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,Mn_by_MP,Mn_by_Start,Compl,Subs,Mn_by_Sub,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost,Cmp
Teresa Abilleira,es ESP,MF,Real Madrid,22-333,2000,9,7,648,3,1,3,0,0,0,0,1.2,1.2,1.1,46f75f0c,54582b93,15,6,0.20,0.50,24.2,2,0.08,+1.8,+1.8,384,478,7624,2570,0.8,-0.1,12,64,5,1,38,30,22,8,0,0,0,0,5,4,1,0,0,0,0,21,15,4,12,5,8,12,4,5,0,5,4,25,2,0,552,8,122,332,103,3,552,7,10,15,6,366,10,72,85,5,2,27,1,2.44,26,8,+18,+1.43,12.6,7.6,+5.0,+0.32,0,15,13,0,18,15,0,0,0,52,4,5,0
Jessica Aby,ci CIV,"FW,MF",Alavés,24-175,1998,10,4,383,1,0,1,0,0,3,0,1.2,1.2,0.2,72c566fe,aa11fb42,4,3,0.25,0.33,11.9,0,0.29,-0.2,-0.2,66,111,1084,213,0.2,-0.2,6,7,0,0,6,7,6,0,0,0,0,1,0,0,0,0,0,0,0,13,7,5,5,3,3,5,2,1,0,1,3,16,8,0,156,8,39,75,46,12,156,4,7,12,6,94,12,38,63,0,6,22,1,0.60,4,13,-9,-0.04,4.7,8.5,-3.8,+0.69,0,19,8,2,3,7,0,0,0,21,6,11,0
Charity Adule,,FW,Alhama,29-031,1993,1,0,14,0,0,0,0,0,0,0,0.0,0.0,0.0,67a39a11,e9fecaf2,0,0,,,,0,,0.0,0.0,1,1,6,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,1,0,0,1,0,14,,0,1,14,,0.00,0,0,0,+1.57,0.1,0.2,-0.1,+0.03,0,0,0,0,0,0,0,0,0,0,0,2,0
Júlia Aguado,,"FW,MF",Levante,22-220,2000,5,0,50,3,0,3,0,0,0,0,1.8,1.8,0.0,a097ef45,0f4738a8,4,4,0.75,0.75,9.3,0,0.45,+1.2,+1.2,7,11,69,10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,13,6,18,0,3,1,0,16,5,10,,0,5,10,5,2.60,4,0,+4,+6.05,2.6,0.1,+2.5,+3.32,0,2,0,2,0,0,0,0,0,2,1,0,0
Yolanda Aguirre,es ESP,GK,Sevilla,24-046,1998,4,4,360,0,0,0,0,0,0,0,0.0,0.0,0.0,150b2d3b,215d9026,0,0,,,,0,,0.0,0.0,75,111,2089,1461,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,129,116,128,1,0,0,129,0,0,0,0,35,0,90,90,4,0,,7,0.75,7,10,-3,-1.04,5.1,7.3,-2.1,-1.31,0,0,1,0,0,0,0,0,1,2,1,1,0
Rasheedat Ajibade,ng NGA,FW,Atlético Madrid,23-000,1999,11,8,706,4,1,4,0,0,0,0,6.3,6.3,0.8,77448ed7,b56c2667,36,17,0.11,0.24,13.4,0,0.18,-2.3,-2.3,126,200,2087,551,1.1,+0.2,8,14,8,3,14,26,17,1,3,2,3,0,3,2,0,0,0,1,0,8,4,2,4,2,1,3,2,6,0,6,3,11,0,0,307,1,18,108,186,62,307,15,23,35,25,246,57,64,80,4,3,23,,2.09,17,11,+6,+0.13,14.6,7.2,+7.3,-0.05,0,11,16,7,19,4,1,0,0,39,7,4,0
Henriette Akaba,cm CMR,DF,Levante Planas,30-184,1992,1,0,7,0,0,0,0,0,0,0,0.2,0.2,0.0,e938c5ba,753b93a5,2,0,0.00,,10.6,0,0.08,-0.2,-0.2,1,1,11,0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,3,0,0,0,0,2,0,7,,0,1,7,6,0.00,0,0,0,+1.46,0.2,0.1,+0.1,+1.84,0,0,0,0,0,0,0,0,0,0,0,0,0
Albeta,,DF,Villarreal,21-116,2001,1,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,4f3341b5,7a7bef84,0,0,,,,0,,0.0,0.0,2,4,15,15,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,5,0,2,2,1,0,5,0,0,0,0,2,0,7,,0,1,7,4,0.00,0,0,0,+1.65,0.1,0.2,-0.1,-1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
Ainhoa Alguacil,,"MF,FW",Valencia,16-334,2006,6,4,296,0,1,0,0,0,0,0,0.0,0.0,0.5,450dbe8a,f96ff499,1,0,0.00,,31.6,0,0.02,0.0,0.0,70,96,1246,374,0.4,+0.5,10,6,5,2,11,14,13,0,1,0,0,0,2,2,0,0,0,0,0,3,2,2,1,0,1,2,1,4,0,4,1,4,2,0,128,5,24,61,45,3,128,3,3,11,11,80,12,49,61,0,2,27,1,0.67,3,3,0,-0.39,1.9,3.9,-2.0,-1.13,0,1,4,0,3,2,0,0,0,26,0,1,0
María Alharilla Casado,es ESP,"DF,MF",Levante,32-025,1990,3,0,100,0,0,0,0,0,0,0,0.0,0.0,0.0,9581d587,0f4738a8,1,0,0.00,,31.4,0,0.02,0.0,0.0,49,61,744,362,0.0,0.0,0,5,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,1,3,3,3,4,1,2,0,2,2,9,3,0,79,4,15,40,24,1,79,0,2,2,1,32,5,33,,0,3,33,1,3.00,7,1,+6,+4.39,4.3,0.8,+3.4,+1.97,0,0,1,0,1,4,0,0,0,9,0,0,0
