Squad,#Pl,Age,Poss,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Squad_id,League_id,Sh,SoT,G_by_Sh,G_by_SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,xA,A-xAG,KP,LastThird,PPA,CrsPA,Prog,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl_plus_Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,Mn_by_MP,Mn_by_Start,Compl,Subs,Mn_by_Sub,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Alavés,20,27.3,40.5,11,121,990,10,7,10,0,0,24,0,8.7,8.7,6.1,aa11fb42,230,78,29,0.13,0.34,18.4,3,0.12,+1.3,+1.3,2247,3601,44585,21062,5.7,+0.9,46,159,31,10,132,106,65,12,4,10,9,6,16,10,1,2,1,1,1,198,122,107,63,28,77,138,61,106,31,75,107,305,246,8,4765,903,2325,1658,834,135,4765,39,105,210,109,2194,127,90,82,73,48,20,32,0.55,11,34,-23,8.7,23.2,-14.5,0,117,117,29,127,122,0,2,1,540,118,117
Alhama,21,26.4,41.8,11,121,990,5,3,5,0,0,23,1,7.8,7.8,4.9,e9fecaf2,230,118,29,0.04,0.17,19.7,4,0.07,-2.8,-2.8,1784,3458,39605,21461,5.5,-1.9,65,181,54,27,192,163,104,23,5,14,12,5,6,4,1,0,1,0,0,288,177,142,121,25,131,238,107,137,45,92,144,432,235,3,4767,654,1955,1844,1018,165,4767,34,86,179,97,1733,188,90,81,77,43,25,31,0.27,5,22,-17,7.8,16.2,-8.5,1,150,109,33,199,177,0,1,1,625,135,163
Athletic Club,23,24.4,48.4,11,121,990,14,11,14,0,0,12,0,11.1,11.1,7.9,94929c05,230,123,42,0.11,0.33,19.5,2,0.09,+2.9,+2.9,3145,4566,62825,25456,5.9,+3.1,88,246,46,19,224,192,135,24,4,17,9,3,22,18,1,0,3,0,0,199,120,104,61,34,80,157,77,112,28,84,145,344,214,2,5853,751,2407,2243,1260,139,5853,69,145,261,104,3079,218,90,81,70,51,20,32,1.18,16,20,-4,11.1,14.7,-3.6,0,111,96,24,210,120,0,0,0,711,98,110
Atlético Madrid,21,26.2,56.5,11,121,990,20,13,18,2,3,16,0,20.3,18.0,13.8,b56c2667,230,160,58,0.11,0.31,17.1,8,0.11,-0.3,0.0,4261,5484,81135,32775,11.5,-0.8,118,391,97,29,358,271,198,19,19,19,13,3,34,29,0,2,1,2,0,173,101,64,86,23,42,84,42,103,20,83,152,325,147,4,6717,572,2110,2975,1706,265,6714,105,205,229,149,4189,351,90,82,71,50,19,36,2.09,21,13,+8,20.3,9.9,+10.5,0,118,121,33,238,101,3,2,1,669,91,86
Barcelona,25,26.8,67.9,11,121,990,42,31,41,1,2,15,0,32.5,31.0,24.4,15f49df1,230,244,97,0.17,0.42,14.8,5,0.13,+9.5,+10.0,5739,6892,101111,38279,24.0,+6.6,183,531,151,38,504,413,292,51,14,44,11,1,70,50,6,4,8,2,0,165,106,57,76,32,49,87,38,91,14,77,85,250,91,2,7928,573,2143,3558,2278,443,7926,57,150,179,150,5656,488,90,78,67,54,26,31,3.00,45,4,+41,32.5,6.1,+26.3,0,115,107,46,278,106,0,1,0,670,83,66
Levante,21,24.7,59.5,11,121,990,28,22,27,1,2,18,0,23.8,22.2,17.5,0f4738a8,230,197,76,0.14,0.36,17.2,3,0.12,+4.2,+4.8,4364,5643,83884,33842,15.6,+4.5,137,391,103,22,378,320,240,26,19,23,7,5,47,39,2,1,4,1,0,236,154,83,104,49,88,132,44,122,14,108,135,371,130,7,6882,616,2089,3117,1740,308,6880,93,183,220,182,4289,360,90,83,79,42,19,46,2.09,30,14,+16,23.8,9.2,+14.6,0,113,113,43,187,154,1,0,0,674,103,74
Levante Planas,23,26.0,40.4,11,121,990,11,6,10,1,1,18,1,10.0,9.2,6.5,753b93a5,230,110,39,0.09,0.26,21.3,7,0.09,+1.0,+0.8,2307,3617,45256,21933,7.4,-0.5,66,182,46,17,211,179,97,30,13,13,21,5,16,10,0,1,3,2,0,228,147,122,83,23,97,175,78,119,32,87,153,381,230,0,4920,780,2112,1995,892,129,4919,85,185,213,118,2262,206,90,79,70,50,25,31,0.73,11,27,-16,10.0,21.4,-11.4,1,121,110,29,105,147,1,4,1,613,83,91
Madrid CFF,21,26.9,50.3,11,121,990,22,14,21,1,1,25,1,16.7,16.0,11.7,89818574,230,159,69,0.13,0.30,18.2,2,0.10,+5.3,+5.0,3272,4719,62479,27743,9.8,+2.3,102,282,58,16,295,252,170,33,16,18,8,7,36,21,3,4,3,2,3,231,151,122,86,23,79,142,63,123,39,84,141,372,206,5,6068,629,2359,2535,1251,204,6067,63,130,242,134,3207,286,90,82,74,46,20,40,2.00,22,15,+7,16.7,11.0,+5.7,1,128,113,32,178,151,1,1,0,757,101,90
Real Betis,25,25.2,49.3,11,121,990,13,8,12,1,1,19,1,7.0,6.2,4.7,74142337,230,108,40,0.11,0.30,21.2,3,0.06,+6.0,+5.8,2946,4334,55415,23957,4.9,+3.3,75,204,44,21,215,178,126,22,6,9,8,7,22,18,2,1,0,1,0,191,136,83,85,23,103,178,75,111,35,76,130,321,148,2,5523,675,2117,2275,1182,139,5522,53,152,233,141,2880,209,90,80,74,46,26,44,0.91,13,26,-13,7.0,24.9,-17.9,0,118,107,17,155,136,0,2,1,665,99,142
Real Madrid,21,25.6,60.9,10,110,900,29,26,29,0,0,15,0,16.5,16.5,14.6,54582b93,230,140,59,0.21,0.49,18.0,3,0.12,+12.5,+12.5,4101,5203,77308,29000,12.2,+11.4,111,362,85,22,332,236,179,18,9,11,10,9,48,37,3,3,3,0,2,182,125,77,68,37,59,101,42,107,30,77,114,296,113,2,6235,570,1969,2832,1495,237,6235,103,200,190,106,4031,323,90,79,64,46,26,45,2.50,30,9,+21,16.5,10.4,+6.1,0,111,129,32,192,125,0,0,1,618,74,95
