Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm,Matches,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,Launched_Cmp,Launched_Att,Passes_Att,Passes_Thr,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Sweeper_#OPA,Sweeper_AvgDist,Player_id,Nation_id,Squad_id,Matches_id
1,Yolanda Aguirre,es ESP,GK,Sevilla,24-046,1998,4,4,360,10,22,14,1,0,3,1,2,2,0,0,Matches,0,0,2,6.4,0.20,-1.6,11,39,76,18,35.7,34,34.2,48,7,6,14.5,,,,
2,Chelsea Ashurst,,GK,Sporting Huelva,32-230,1990,4,4,360,7,20,13,1,1,2,2,1,1,0,0,Matches,0,0,0,9.2,0.41,+2.2,30,86,74,6,51.5,43,40.6,51,0,2,14.4,,,,
3,María Asunción Quiñones,es ESP,GK,Athletic Club,26-040,1996,11,11,990,20,62,42,4,1,6,2,0,0,0,0,Matches,0,2,0,19.0,0.31,-1.0,48,117,294,54,32.5,106,29.0,138,13,15,15.3,,,,
4,Doris Bačić,hr CRO,GK,Levante Planas,27-288,1995,10,10,900,24,67,42,2,2,6,0,3,1,2,0,Matches,0,3,1,24.8,0.33,+1.8,52,128,222,43,35.4,108,32.1,161,8,7,13.0,,,,
5,Nayluisa Cáceres,ve VEN,GK,UDG Tenerife,23-020,1999,5,5,450,7,16,10,1,1,3,0,0,0,0,0,Matches,0,2,1,3.2,0.20,-2.8,16,74,150,25,35.3,39,41.5,77,5,13,17.2,,,,
6,Carmen Carbonell,,GK,Villarreal,23-133,1999,2,1,100,0,3,3,1,0,0,1,0,0,0,0,Matches,0,0,0,0.3,0.11,+0.3,9,24,21,0,44.7,9,54.0,17,2,2,14.4,,,,
7,Natalia Expósito,,GK,Madrid CFF,25-049,1997,1,1,90,7,11,4,0,0,1,0,0,0,0,0,Matches,0,0,0,3.6,0.33,-3.4,3,8,11,2,34.5,12,27.6,21,0,0,7.3,,,,
8,Gemma Font,es ESP,GK,Barcelona,23-031,1999,5,5,450,1,10,9,5,0,0,4,0,0,0,0,Matches,0,0,0,2.0,0.21,+1.0,13,20,134,24,24.5,12,16.4,32,2,9,20.6,,,,
9,Dolores Gallardo,es ESP,GK,Atlético Madrid,29-181,1993,11,11,990,13,41,28,7,2,2,4,2,1,1,0,Matches,1,2,1,9.5,0.20,-2.5,44,92,281,66,29.3,80,34.3,138,14,16,12.8,,,,
10,Méline Gérard,fr FRA,GK,Real Madrid,32-192,1990,2,2,180,1,5,4,2,0,0,1,0,0,0,0,Matches,0,0,0,1.9,0.44,+0.9,8,16,38,11,27.2,25,29.6,18,4,1,8.3,,,,
11,Noelia Gil,es ESP,GK,Alhama,28-199,1994,5,5,450,11,34,23,0,0,5,0,1,1,0,0,Matches,1,0,0,8.4,0.22,-2.6,40,105,107,7,47.4,43,40.2,50,0,2,10.3,,,,
12,Patricia Larqué,es ESP,GK,Alavés,30-220,1992,6,6,540,19,49,30,1,2,3,0,2,2,0,0,Matches,0,2,0,17.3,0.31,-1.7,37,133,210,25,38.1,56,39.9,103,4,3,10.0,,,,
13,Elene Lete,es ESP,GK,Real Sociedad,20-215,2002,5,5,450,5,19,14,2,3,0,2,1,1,0,0,Matches,0,1,0,4.8,0.20,-0.2,3,17,154,23,23.6,31,20.6,35,1,11,19.6,,,,
14,María López,es ESP,GK,Levante,20-012,2002,7,7,545,10,25,15,3,1,2,1,0,0,0,0,Matches,0,1,0,5.3,0.21,-4.7,9,27,162,34,24.1,47,25.4,59,6,8,13.5,,,,
15,Laura Martínez,,GK,Alhama,22-017,2000,6,6,540,11,32,22,1,0,5,1,0,0,0,0,Matches,0,1,1,9.3,0.29,-0.7,37,121,128,14,41.6,64,41.0,78,5,12,15.3,,,,
16,Zala Meršnik,si SVN,GK,Sporting Huelva,21-184,2001,7,7,630,13,42,30,2,2,3,0,0,0,0,0,Matches,0,0,1,12.8,0.31,+0.8,39,115,109,13,42.0,72,47.4,113,10,7,10.5,,,,
17,Malena Mieres,,GK,Real Betis,22-254,2000,7,7,630,17,43,27,2,1,4,2,1,1,0,0,Matches,0,1,1,15.0,0.33,-1.0,73,218,340,15,39.3,55,42.4,73,4,19,17.4,,,,
18,Cosette Morché,us USA,GK,Valencia,25-182,1997,1,1,90,1,7,6,0,0,1,0,0,0,0,0,Matches,0,1,0,1.6,0.27,+0.6,2,7,23,10,33.0,12,26.8,16,1,0,4.0,,,,
19,Adriana Nanclares,es ESP,GK,Real Sociedad,20-213,2002,6,6,540,7,22,15,3,1,2,1,0,0,0,0,Matches,0,3,0,7.5,0.38,+0.5,18,37,139,21,27.8,41,22.9,89,1,5,14.1,,,,
20,Sandra Paños,es ESP,GK,Barcelona,30-034,1992,6,6,540,3,8,5,6,0,0,3,1,1,0,0,Matches,0,0,0,4.6,0.46,+1.6,12,30,186,32,24.8,31,24.1,37,3,5,16.7,,,,
21,Montse Quesada,,GK,Levante Planas,21-237,2001,1,1,90,3,7,4,0,0,1,0,1,1,0,0,Matches,0,0,0,3.1,0.30,+0.1,1,8,20,5,34.1,11,18.4,10,0,0,8.7,,,,
22,Noelia Ramos,es ESP,GK,UDG Tenerife,23-301,1999,5,5,450,5,19,13,2,2,1,2,1,0,1,0,Matches,0,1,0,3.3,0.12,-1.7,28,103,149,20,39.1,46,46.6,70,2,7,15.3,,,,
23,Misa Rodríguez,es ESP,GK,Real Madrid,23-139,1999,8,8,720,8,31,24,6,1,1,4,0,0,0,0,Matches,0,1,1,8.9,0.29,+1.9,32,59,169,36,29.1,54,30.0,74,6,16,16.0,,,,
24,Enith Salón,es ESP,GK,Valencia,21-075,2001,10,10,900,9,46,37,4,3,3,4,0,0,0,0,Matches,0,0,0,12.0,0.27,+3.0,32,85,316,48,29.2,81,27.4,127,17,13,13.2,,,,
25,Esther Sullastres,es ESP,GK,Sevilla,29-263,1993,7,7,630,10,33,22,2,3,2,2,1,0,1,0,Matches,0,2,0,7.8,0.21,-2.2,31,67,161,37,32.2,56,30.7,95,5,10,16.3,,,,
26,Andrea Tarazona,,GK,Levante,18-262,2004,5,4,445,4,14,10,3,1,0,2,0,0,0,0,Matches,0,1,0,4.1,0.29,+0.1,12,21,89,23,27.1,43,23.9,59,2,2,9.5,,,,
27,Gaëlle Thalmann,ch SUI,GK,Real Betis,36-324,1986,4,4,360,9,20,11,1,0,3,1,1,1,0,0,Matches,0,1,0,6.9,0.30,-2.1,27,96,165,12,37.5,33,36.7,38,4,12,19.0,,,,
28,Elena de Toro,,GK,Villarreal,25-311,1997,10,10,890,28,57,32,2,1,6,1,0,0,0,0,Matches,2,4,3,16.4,0.29,-8.6,50,162,243,21,36.8,69,49.1,155,2,27,18.9,,,,
29,Paola Ulloa,,GK,Madrid CFF,25-347,1996,10,10,900,8,37,28,7,1,2,5,1,0,1,0,Matches,0,1,0,9.3,0.23,+1.3,20,48,127,35,30.0,90,24.5,122,7,12,12.7,,,,
30,Jana Xin,,GK,Alavés,19-070,2003,5,5,450,15,39,25,0,1,4,0,0,0,0,0,Matches,0,0,1,9.4,0.24,-4.6,16,70,155,29,33.4,54,32.6,114,6,1,8.8,,,,
1,Mackenzie Arnold,au AUS,GK,West Ham,28-286,1994,7,7,619,9,37,26,3,0,3,2,1,0,1,0,Matches,0,2,0,8.7,0.18,-0.3,45,148,206,42,39.3,69,40.8,124,6,5,11.6,30f6344f,AUS,52d65cea,30f6344f
2,Ann-Katrin Berger,de GER,GK,Chelsea,32-060,1990,8,8,720,4,22,18,8,0,0,4,0,0,0,0,Matches,0,1,1,5.4,0.25,+2.4,37,52,280,30,26.9,44,27.5,64,6,3,12.6,be9f3298,GER,a6a4e67d,be9f3298
3,Courtney Brosnan,ie IRL,GK,Everton,27-028,1995,5,5,450,7,18,11,2,0,3,2,1,1,0,0,Matches,0,1,0,5.1,0.23,-1.9,8,28,139,28,25.8,37,26.6,66,8,5,10.7,1cd91ff2,IRL,c4989550,1cd91ff2
4,Jackie Burns,nir NIR,GK,Reading,25-277,1997,6,6,514,10,26,17,2,0,3,1,1,0,1,0,Matches,0,1,2,6.5,0.21,-1.5,24,76,147,19,36.1,50,38.9,83,3,4,14.9,8fd4862e,NIR,5d020380,8fd4862e
5,Eartha Cumings,sct SCO,GK,Liverpool,23-180,1999,2,2,180,6,12,6,0,2,0,0,1,1,0,0,Matches,0,0,0,3.4,0.20,-2.6,5,22,82,11,28.3,14,27.4,36,2,3,10.3,897b3f34,SCO,00f74a56,897b3f34
6,Mary Earps,eng ENG,GK,Manchester Utd,29-276,1993,8,8,720,5,24,19,7,0,1,6,0,0,0,0,Matches,0,0,0,4.4,0.18,-0.6,19,36,316,34,22.7,40,29.4,88,5,8,14.7,ca2eabf4,ENG,0bbd83f6,ca2eabf4
7,Hannah Hampton,eng ENG,GK,Aston Villa,22-022,2000,3,3,270,8,20,12,2,0,1,1,0,0,0,0,Matches,0,1,0,5.2,0.26,-2.8,16,37,88,9,33.7,19,41.9,40,2,0,7.5,87f3ffa4,ENG,53157aa8,87f3ffa4
8,Sophie Hillyerd,eng ENG,GK,West Ham,19-278,2003,3,2,191,9,19,9,0,0,2,0,2,2,0,0,Matches,0,2,0,5.8,0.21,-3.2,10,44,37,3,46.9,24,48.5,35,0,0,8.9,5c0ee435,ENG,52d65cea,5c0ee435
9,Tinja-Riikka Korpela,fi FIN,GK,Tottenham,36-217,1986,3,3,270,3,17,13,2,0,1,2,1,1,0,0,Matches,0,1,0,3.0,0.12,0.0,12,27,117,18,25.7,22,25.7,41,1,5,14.7,9df8e322,FIN,e8e4577c,9df8e322
10,Demi Lambourne,eng ENG,GK,Leicester City WFC,26-222,1996,2,2,180,9,15,6,0,0,2,0,0,0,0,0,Matches,0,1,0,6.6,0.44,-2.4,10,23,56,8,30.8,14,32.4,19,0,2,14.4,a9e58407,ENG,23bce84e,a9e58407
